"qBF1Pd","MW4etd","UY7F9","W4Efsd","UsdlK","lcr4fd href","Jn12ke src","ah5Ghc"
"Home Builder London Ltd","5.0","(34)","General contractor","+44 7473 463936","https://www.homebuilderlondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He finished within the estimated timeframe and the quotation was very fair."""
"Kitchen Fitters & Renovators London","4.9","(101)","Kitchen remodeler","+44 20 3828 7788","https://kitchenfitterslondonltd.co.uk/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional, clean & tidy, and finished ahead of schedule."""
"FUTURE SHAPES LONDON","4.7","(31)","Home builder","+44 7858 448584","http://www.futureshapes.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great experience — professional, reliable and excellent quality of work."""
"TP Renovations Ltd - Kitchen and Bathroom Installation Experts","5.0","(35)","Construction company","+44 7508 314562","https://www.tprenovationsltd.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""His prices are reasonable and his work was immaculate."""
"London Renovation Company","5.0","(4)","Construction company","+44 20 8050 4086","https://londonrenovationcompany.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""London Renovation have been Brilliant from start to finish."""
"London Renovation Company","5.0","(4)","Construction company","+44 20 8050 4086","https://londonrenovationcompany.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""London Renovation have been Brilliant from start to finish."""
"Elemented","5.0","(38)","Architecture firm","+44 20 8922 0589","https://www.elemented.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great work on budget and on time."""
"Row London Construction Ltd","5.0","(89)","Construction company","+44 7440 151642","https://rowlondonconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He finished his job in time and cleaned after."""
"APT Renovation","4.7","(14)","Custom home builder","+44 20 7223 6417","https://www.aptrenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best building quality"""
"KBB Master - Bathroom Fitters London","4.9","(54)","Bathroom remodeler","+44 7552 464822","https://kbbmaster.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They truly transformed our house into a stylish and functional space."""
"InsPr House Renovation London","5.0","(23)","Home builder","+44 7520 644389","https://insprhouserenovationlondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good communication, reasonable costs and stunning end result."""
"PA Renovation London","5.0","(16)","Home builder","+44 7984 139215","https://parenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pawel was on time, professional and tidied up after he finished the job."""
"Save the Sash Ltd","5.0","(29)","Window supplier","01628 947338","https://www.google.com/aclk?sa=L&ai=DChsSEwi_5PqamfOTAxWKREECHWvGKu0YACICCAEQABoCd3M&co=1&ase=2&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3Tu8Umduy5w3pPbP5GieCqJs4qwUclEKvQZleaAGGJAafwAf1rXL88aAvALEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_3TBteXsUbWL5URN430hkNUZO3lkQ&adurl&q&ctype=99&nis=6","",""
"Studio Disoul","4.8","(4)","Stair contractor","07472 857434","https://www.google.com/aclk?sa=L&ai=DChsSEwi_5PqamfOTAxWKREECHWvGKu0YACICCAEQARoCd3M&co=1&ase=2&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3SeRPqCJk13mp1nBUqHrd0JkFt9L7rGBcC2tglStYkY1ItEQy-mNkcaAordEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_2TcpNbkwfd9bScrryl9Pc54f_pBg&adurl&q&ctype=99&nis=6","",""
"Right Build Group","4.8","(36)","Building firm","+44 20 3404 2271","https://www.rightbuildgroup.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The contractors did a great job and left my home clean afterwards."""
"Estate Renovation","4.8","(14)","Contractor","+44 20 8077 9834","https://estaterenovation.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It turned out great and they were kind and helpful throughout the process."""
"Beams Renovation","4.6","(39)","Kitchen remodeler","+44 20 3480 7667","https://beamsrenovation.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The planning team are fantastic - very knowledgeable and proffessional."""
"Bathroom Renovation, Kitchen Refurbishment & Home Improvement Specialists in South London","4.9","(30)","Kitchen remodeler","+44 7568 512261","http://www.jmdltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jose did an excellent job in our kitchen and left everything clean and tidy."""
"Titan Redesign","5.0","(61)","Bathroom remodeler","+44 7907 924157","https://www.titanredesign.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Clean finish, great attention to detail, and very professional throughout."""
"House Renovation Kensington","5.0","(15)","Construction company","+44 7441 429907","http://houserenovationkensington.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The workmanship was top notch, and they kept the place clean throughout."""
"Gurra Construction","5.0","(59)","Construction company","+44 7452 804995","http://www.gurraconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""completed work today in short time as worked hard and very skilled."""
"JP Refurbishment London Ltd","4.9","(30)","Construction company","+44 7718 169620","https://jprefurbishmentlondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The project started and finished on time, and all to a very high standard."""
"NWL Builders Ltd","4.9","(32)","Construction company","+44 20 7126 8289","https://www.nwlbuilding.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was professional, efficient, and attentive to every detail."""
"London refurbishment company","4.5","(17)","Construction company","+44 20 8445 8677","https://london-refurbishment-company.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was done to an impeccable standard with the highest quality finish."""
"Premium Installations & Co","4.9","(54)","Property maintenance","+44 20 3727 2333","http://www.premiuminstallations.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was professional, reliable, and delivered high-quality workmanship."""
"Ripe Solutions - Construction Company London","5.0","(15)","Construction company","+44 20 7050 0699","https://www.ripesolutions.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Take all the stress out of a build/renovation and very nice finish."""
"Brixen Construction","5.0","(14)","Bathroom remodeler","+44 7834 811332","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their work is very clean and tidy and the price is very fair."""
"Building Vision London Ltd","4.9","(95)","General contractor","+44 7871 647667","https://www.buildingvisionlondon.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He did a great job with no fuss and it was done on time and on budget."""
"Upper Street Contractors (Upper Street Handyman Ltd.)","4.8","(178)","Construction company","+44 20 7424 5466","https://upperstreet.contractors/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The workmen sent out to our job we're very quick, tidy, and did a great job."""
"LOR Build","5.0","(51)","Bathroom remodeler","+44 7922 235259","https://lorbuild.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The quality of their work and attention to detail are excellent."""
"Art Renovation Ltd","5.0","(126)","Bathroom remodeler","+44 20 8672 9579","https://www.artrenovationlondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The finished job is very professional and meets our expectations exactly."""
"IMD BUILDING SERVICES","4.8","(47)","Bathroom remodeler","+44 7538 610665","http://www.imdservice.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did an amazing job - high quality work at a very competitive price."""
"Nova Design & Build London","5.0","(28)","Contractor","+44 20 4538 8421","https://novadesignbuild.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was punctual, professional, and did a brilliant job."""
"Blue Line Build","5.0","(28)","General contractor","+44 7821 826609","https://bluelinebuild.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He transformed my son's bedroom into a space that exceeded our expectations."""
"Row London Construction Ltd","5.0","(89)","Construction company","+44 7440 151642","https://rowlondonconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He finished his job in time and cleaned after."""
"Level London","4.9","(20)","Bathroom remodeler","+44 20 7101 4694","http://www.levellondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Efficient with top end quality finishes and happy customers consistently."""
"North Star Building Solutions Limited","4.9","(127)","General contractor","+44 7883 535012","https://northstarbuildingsolutions.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their work ethic and quality of craftsmanship were outstanding."""
"House Remodeling & Finishing East London","4.7","(15)","Custom home builder","+44 7418 352689","http://houseremodelingfinishing.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Had our entire house renovated and everything went smoothly, very impressed"""
"Martin Full House Refurbishment","5.0","(18)","Custom home builder","+44 7520 642707","http://fullhouserefurbishment.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Everything was organised perfectly and the work was completed on time."""
"Property Repair London Ltd","4.8","(58)","Home builder","+44 7488 896617","https://www.propertyrepairlondon.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It was a tricky job and he came up with good creative solutions."""
"Home Renovation Solution","5.0","(28)","Construction company","+44 20 8064 1514","https://www.homerenovationsolution.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good communication, affordable price and a very well done job."""
"M&E Building Contractors","4.9","(57)","Construction company","+44 20 8191 1415","http://mebuildingcontractors.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very responsive, reliable, professional and the work is of good quality."""
"MK Refurbishment London Ltd","4.7","(15)","Building firm","+44 20 8761 9766","http://www.mk-refurbishment.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They efficiently removed the old, poorly installed bathroom in a single day."""
"Top Home - Man & Van, Rubbish Removal, Renovation and Refurbishment in London and surrounding area","4.8","(32)","Construction company","+44 7787 728693","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great experience, efficient, polite, professional, & good value."""
"Spring Renovations LTD","5.0","(22)","Construction company","+44 7424 386390","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great man, great work, sensible pricing!"""
"Refresh Renovations - South West London","4.4","(22)","Home builder","+44 800 313 4577","https://www.refreshrenovations.co.uk/people/saleem-jalil?utm_source=social+media+page&utm_medium=N4+Google+Business+Listing&utm_campaign=Saleem+Jalil","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Peter who did the work worked hard and communicated well with us."""
"Pro Daci Renovation Company | Painting and Decorating | House Extensions London | Handyman","5.0","(20)","Kitchen remodeler","+44 7455 562273","https://www.prodacirenovationlimited.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They kept everything tidy, stuck to the timeline, and stayed within budget."""
"Revamp London Property Refurbishment","5.0","(13)","Construction company","+44 20 3813 3222","http://www.revamplondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lovely new floors, supporting in installing a kitchen and a good lick paint."""
"London Home Renovation Limited","4.8","(4)","Construction company","","","",""
"Smart Designs Constructors","4.9","(47)","Home builder","+44 20 3576 1061","https://smartdesignsconstructors.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Came on time and delivered excellent work with brilliant finishes."""
"LC Renovation","4.6","(10)","Construction company","+44 20 7118 5155","https://www.lcrenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The results are excellent and we are really happy with the result."""
"Prime Renovation and Biuld Ltd","5.0","(11)","Construction company","+44 7400 279480","http://prime-renovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good work really thanks"""
"Just A Phase Limited","5.0","(58)","Interior construction contractor","+44 7590 211977","http://www.justaphaselimited.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did our en-suite bathroom and installed our dining area ceiling light."""
"DecoReno Builders","5.0","(45)","Bathroom remodeler","+44 7481 982536","https://www.decoreno.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was always on time and finished the job within the specified time."""
"Regal Construction Services Ltd","4.6","(48)","Construction company","+44 20 7736 3916","https://www.regal-ltd.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They completely transformed our space with excellent attention to detail."""
"Property Refurbishment London","4.7","(24)","Construction company","+44 20 3862 1978","http://www.property-refurbishment-london.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Communication was clear throughout, and the project was completed on time."""
"Richmond Builds construction LTD","5.0","(21)","Construction company","+44 7383 624070","https://richmond-bathroom-remodeling.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great quality, fair price, and very professional."""
"DS5 Construction LTD","4.8","(16)","Home builder","+44 7383 501785","https://www.ds5construction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ivan was extremely attentive to detail and we are thrilled with the results."""
"RELM INTERIORS LTD","4.8","(49)","Construction company","+44 20 3732 2522","http://www.relminteriors.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was professional, attentive, and provided excellent craftsmanship."""
"Tramnak Building Services","5.0","(62)","Home builder","+44 20 3488 9751","https://tramnak.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great job, professionally delivered and nice people"""
"Luxurious Constructions Ltd","5.0","(31)","Construction company","+44 7836 699933","https://luxuriousconstructions.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Prompt service, excellent communication, and exceptional pointing work."""
"Makah Design & Build","4.9","(34)","Contractor","+44 7473 256263","https://makahdesignandbuild.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Him and his team take pride in their work and are efficient."""
"Beck's Homes UK Ltd- (Handyman Services, Painters & Decorators)","5.0","(151)","Painter","+44 7774 928737","http://www.beckshomesuk.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their team was professional, efficient, and delivered outstanding results."""
"Era Construction Solutions Ltd.","4.8","(47)","Construction company","+44 7385 655282","http://www.era-constructionsolutions.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fantastic experience — professional, friendly, and truly know their craft."""
"LINX Design And Build","5.0","(124)","Construction company","+44 20 8914 7824","http://www.linxdesignbuild.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The job was finished on time and the results look really good."""
"Ultimate Commercial Contractors Ltd","4.9","(31)","Shopfitter","+44 800 051 8446","https://www.ultimatecontractorsltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their craftsmanship is second to none, and the results speak for themselves."""
"Hp construction & Renovation Ltd","4.8","(41)","Construction company","+44 7497 785425","https://www.hpbuilding.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The workmanship was top-notch, and the team was reliable and tidy."""
"London Remodelling","5.0","(4)","Building firm","+44 7557 797979","http://www.checkatrade.com/LRemodelling","",""
"LCCL Construction","4.9","(28)","Construction company","+44 20 8037 7332","https://www.lcclconstruction.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1769122268097170495","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was conducted on time with great attention to detail."""
"BATHKITCHEN RENOVATION LTD","5.0","(12)","Construction company","+44 20 3930 3453","https://bathkitchenlondon.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sebastian and his team did a fantastic job transforming my bathroom."""
"Luxury construction group","4.7","(15)","Construction company","+44 20 7459 4867","https://www.luxuryconstructiongroup.co/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really good quality service from start to finish and attention to detail."""
"Refresh Renovations","5.0","(12)","Construction company","+44 7802 673455","https://www.refreshrenovations.co.uk/locations/north-london?utm_source=directory&utm_medium=N4+Google+Business+Listing&utm_campaign=Mohammad+Sheikh","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They handled everything, design costing and schedule."""
"London Building Contractors (LBC)","4.3","(6)","Home builder","+44 7791 139936","http://www.londonbuildingcontractors.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Top quality finish"""
"Pimlico Building Ltd","5.0","(26)","General contractor","+44 7930 966990","https://pimlicobuildings.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He is prompt with quotes, has a large team and can get work done quickly."""
"London Home Improvements Services","5.0","(12)","Home improvement store","+44 7520 640128","https://homeimprovementsservices.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was completed on time, and the quality is outstanding!"""
"Bathrooms London","5.0","(22)","Bathroom remodeler","+44 20 4546 7850","https://www.bathroomslondonltd.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Project completed ahead of schedule and within budget."""
"Daja Contractors LTD","5.0","(21)","General contractor","+44 7449 276775","https://dajacontractors.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did a fantastic job and was time efficient only taking two days!"""
"Restore London Ltd","5.0","(6)","Construction company","+44 20 7653 1968","http://www.restore.london/","","On-site services"
"Wimbledon Renovations","5.0","(1)","Building firm","+44 7921 176277","https://wimbledonrenovations.com/","",""
"ELIO CONSTRUCTION","4.8","(23)","Home builder","+44 7787 050711","https://elioconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great company to work with, quick, efficient, reasonable, high quality."""
"New Line Construction Ltd","4.8","(126)","Construction company","+44 7734 456436","https://newlineconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They renovated my kitchen and bathroom, and the results were outstanding."""
"Made Simple","4.9","(27)","Home builder","+44 7455 200145","https://www.madeconstructionsimple.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The kitchen looks amazing, and the bathroom has been beautifully finished."""
"Elevate Remodeling Builders LTD","4.7","(12)","General contractor","+44 7438 442361","https://elevatebuildersltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They helped us plan the entire layout and executed it perfectly."""
"Raynes Construction","4.8","(65)","Construction company","+44 20 3475 5889","https://raynesconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Never felt talked down to, and very tidy work."""
"Dan Construction","4.7","(47)","Construction company","+44 7713 010856","http://dcdanconstruction.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast, reliable, efficient and did a really good job at a decent price."""
"4b Renovations","5.0","(18)","Home builder","+44 7496 795126","http://www.4brenovations.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""From start to finish, the quality of work was exceptional."""
"Ukrstars Ltd (construction specialists)","4.9","(31)","Construction company","+44 7896 222850","https://www.ukrstars.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Workmanship - Yaro was thorough in his work, with close attention to detail."""
"Refresh Renovations","5.0","(5)","Construction company","+44 800 098 8417","https://www.refreshrenovations.co.uk/locations/central-and-east-london?utm_source=directory&utm_medium=Google+Business+Listing&utm_campaign=Oli+Ellis","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They took the time to understand my vision and offered helpful suggestions."""
"North West London Builders Ltd","4.8","(49)","General contractor","+44 7955 312345","https://www.northwestlondonbuildersltd.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very competitive very tidy and excellent quality of workmanship"""
"NStar Builds","5.0","(48)","Building firm","+44 20 3576 0166","https://www.nstarbuilds.com/?utm_source=google&utm_medium=map&utm_campaign=gmb_map","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They completed the job efficiently without sacrificing quality."""
"Sphinx Refurbishment Ltd","5.0","(61)","Home builder","+44 7428 360914","http://www.sphinxrefurb.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Communication, timing, cleanliness and of course, top quality work."""
"Teammax - Luxury bathroom renovation & installation London","5.0","(1)","Bathroom remodeler","+44 7879 702046","http://teammax.uk.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mario fitted the  bathroom with quality workmanship and utmost care."""
"Clapham Construction Service","5.0","(84)","Home builder","+44 20 3950 7957","https://claphamconstructionservice.com/?utm_source=GMBListing&utm_medium=organic","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The finished job is high quality, was completed on time."""
"London contractor","5.0","(6)","Construction company","","http://www.londoncontractor.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work done was top quality and I am very pleased with the outcome."""
"London Bath Repairs and Re Enamelling","","","Bathroom remodeler","+44 20 7078 7362","","",""
"Adam Renovations Ltd","4.9","(43)","Construction company","+44 20 8997 2237","http://www.adamrenovationsltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They completed my home renovation quick and as accurate as I wanted it!"""
"London Contractors Service","5.0","(12)","Construction company","+44 7706 742681","http://londoncontractors.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""REVIEW 5/5 STARS:
London Contractors Service did a great job on my project."""
"RZ Building Services - Builders North London","5.0","(24)","Building restoration service","+44 7760 666958","http://www.rzbuildingservices.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The finish had great attention to detail without us needing to prompt."""
"MM home improvement, bathrooms and kitchens fitters streatham","5.0","(36)","Bathroom remodeler","+44 7476 699497","https://mm-home-improvement.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great work - professional, tidy and high quality."""
"Proficiency Design and Build","4.8","(42)","Construction company","+44 20 7435 6231","https://www.proficiencyltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Timeliness – the work was completed on time."""
"ASAP Renovation Ltd","5.0","(2)","Contractor","+44 7969 536369","https://www.asaprenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ASAP Renovation did an absolutely incredible job on my home."""
"You Nailed It Ltd","4.6","(51)","General contractor","+44 7447 402997","http://www.younailedit.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They're always on time, always tidy and polite, real pleasure to work with!"""
"London","5.0","(2)","Home builder","+44 800 689 3053","","",""
"Tiler and General Builders","4.9","(44)","Tile contractor","+44 7512 279918","http://alprestigebuildersltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The workmanship is of a high quality, on time and on budget."""
"London Art Construction and Design limited","5.0","(8)","Construction company","+44 20 4538 2122","https://www.lacd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent finish and very efficiently done."""
"London Construction Contractor","4.4","(29)","Contractor","+44 20 8960 8899","https://londonconstructioncontractor.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The workmanship was excellent and the site was managed efficiently."""
"Bubble Level LTD | Renovation & Structural Works London","4.9","(39)","Home builder","+44 7874 035603","http://www.homeimprovementlondon.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They left my place clean, all the jobs completed without any problems."""
"GLS Building Contractors Ltd","5.0","(14)","Home builder","+44 7878 660706","https://glsbuildingcontractors.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Reliable,fast and reasonably service
Would absolutely use them again."""
"Perfect Renovations London","4.7","(26)","Construction company","+44 7957 362149","https://perfectrenovationslondon.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They arrived on time and worked all day to get the job done."""
"TMT Central Bathrooms","5.0","(48)","Bathroom remodeler","+44 7539 855283","https://tmtcentralbathrooms.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They supplied high-quality fixtures and the installation was flawless."""
"Y.O.B Construction LTD","4.6","(19)","Home builder","+44 7711 811750","https://www.yobconstructionltd.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The tiling work is flawless, and they kept the area tidy each day."""
"Eastern European Workforce Builders Renovations Refurbishment","4.9","(22)","Construction company","+44 7455 932195","http://easterneuropean-builders.services/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alex and the team did a high quality job on time within a reasonable budget."""
"Inspired Renovations LTD","5.0","(111)","Bathroom remodeler","+44 20 3576 6757","https://www.inspiredrenovations.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Work was done quickly and neatly and everything works and looks great."""
"Battersea Bathroom Fitters","5.0","(40)","Remodeler","+44 7418 378601","https://batterseabathroomfitters.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The installers were punctual, tidy and worked with precision."""
"UK RENOVATION CO.","5.0","(1)","Construction company","+44 7900 757573","http://www.ukrenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional team, Innovative designs"""
"","","","","","","",""
